Date,Close/Last,Open,High,Low
02/19/2025,6144.15,6117.76,6147.43,6111.15
02/18/2025,6129.58,6121.60,6129.63,6099.51
02/14/2025,6114.63,6115.52,6127.47,6107.62
02/13/2025,6115.07,6060.59,6116.91,6050.95
02/12/2025,6051.97,6025.08,6063.00,6003.00
02/11/2025,6068.50,6049.32,6076.28,6042.34
02/10/2025,6066.44,6046.40,6073.38,6044.84
02/07/2025,6025.99,6083.13,6101.28,6019.96
02/06/2025,6083.57,6072.22,6084.03,6046.83
02/05/2025,6061.48,6020.45,6062.86,6007.06
02/04/2025,6037.88,5998.14,6042.48,5990.87
02/03/2025,5994.57,5969.65,6022.13,5923.93
01/31/2025,6040.53,6096.79,6120.91,6030.93
01/30/2025,6071.17,6050.75,6086.64,6027.46
01/29/2025,6039.31,6057.70,6062.83,6012.96
01/28/2025,6067.70,6026.97,6074.54,5994.63
01/27/2025,6012.28,5969.04,6017.17,5962.92
01/24/2025,6101.24,6121.43,6128.18,6088.74
01/23/2025,6118.71,6076.32,6118.73,6074.67
01/22/2025,6086.37,6081.39,6100.81,6076.13
01/21/2025,6049.24,6014.12,6051.51,6006.88
